zip,city,name,alias,state,locale,search,branches,men_only,operating,ownership,region_id,accreditor,school_url,state_fips,women_only,main_campus,online_only,carnegie_basic,faculty_salary,ownership_peps,accreditor_code,ft_faculty_rate,carnegie_undergrad,degree_urbanization,under_investigation,price_calculator_url,carnegie_size_setting,minority_serving,religious_affiliation,open_admissions_policy,title_iv,degrees_awarded,tuition_revenue_per_fte,instructional_expenditure_per_fte,institutional_characteristics
91711-6319,Claremont,Pomona College,,CA,21,Pomona College,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.pomona.edu,6,0,1,0,21,13451,2,WASCSR,0.9375,14,,0,https://npc.collegeboard.org/student/app/pomona,11,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""1/1/1966"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",22245,37400,"{""level"":1}"
92373-0999,Redlands,University of Redlands,,CA,13,University of Redlands,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.redlands.edu,6,0,1,0,18,10242,2,WASCSR,0.9664,14,,0,www.redlands.edu/npc,14,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",18560,11246,"{""level"":1}"
94609,Oakland,Samuel Merritt University,,CA,11,Samuel Merritt University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.samuelmerritt.edu,6,0,1,0,26,10646,2,WASCSR,0.4387,7,,0,,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,,"{""approval_date"":""5/1/1967"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",28900,16839,"{""level"":1}"
92182-0001,San Diego,San Diego State University,,CA,11,San Diego State University,2,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sdsu.edu,6,0,1,0,16,10903,1,WASCSR,0.5183,15,,0,https://www2.calstate.edu/attend/paying-for-college/pages/csu-costs.aspx,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",6737,7092,"{""level"":1}"
92110-2492,San Diego,University of San Diego,USD,CA,11,University of San Diego USD,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sandiego.edu,6,0,1,0,16,12284,2,WASCSR,0.5094,15,,0,www.sandiego.edu/admissions/undergraduate/tuition-financial-aid/net-price-calculator.php,13,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",30,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",29223,15581,"{""level"":1}"
94133-2299,San Francisco,San Francisco Art Institute,SFAI,CA,11,San Francisco Art Institute SFAI,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sfai.edu,6,0,1,0,30,6928,2,WASCSR,0.191,13,,0,https://webadvisor.sfai.edu:8443/NetPriceCalculator/index.html,7,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",28863,12125,"{""level"":1}"
94132,San Francisco,San Francisco State University,,CA,11,San Francisco State University,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sfsu.edu,6,0,1,0,18,10744,1,WASCSR,0.4988,11,,0,financialaid.sfsu.edu/NPC/npcalc,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",5482,7687,"{""level"":1}"
94117-1080,San Francisco,University of San Francisco,,CA,11,University of San Francisco,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.usfca.edu,6,0,1,0,17,12379,2,WASCSR,0.4199,15,,0,https://www.usfca.edu/admission/financial-aid/net-price-calculator,16,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",30,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",28022,17149,"{""level"":1}"
95765-3707,Rocklin,William Jessup University,San Jose Christian College,CA,41,William Jessup University San Jose Christian College,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,WWW.JESSUP.EDU,6,0,1,0,22,6907,2,WASCSR,0.2385,13,,0,www.jessup.edu/financial-aid/undergraduate/#tab_undergrad-net-price-calculator,11,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",79,2,"{""approval_date"":""11/18/1988"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",15084,6985,"{""level"":1}"
95192-0001,San Jose,San Jose State University,,CA,11,San Jose State University,1,0,1,1,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sjsu.edu,6,0,1,0,18,10626,1,WASCSR,0.4159,13,,0,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,15,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",6385,7916,"{""level"":1}"
95053,Santa Clara,Santa Clara University,SCU,CA,12,Santa Clara University SCU,2,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.scu.edu,6,0,1,0,17,12700,2,WASCSR,0.6376,14,,0,https://www.scu.edu/financialaid/Net-Price-Calculator.cfm,14,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",30,2,"{""approval_date"":""1/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",32521,18198,"{""level"":1}"
